slug,label
SL,St. Lawrence River
HU,Lake Huron
SU,Lake Superior
MI,Lake Michigan
SC,Lake St. Clair
ER,Lake Erie
ON,Lake Ontario
IL,The State of Illinois
IN,The State of Indiana
MI,The State of Michigan
MN,The State of Minnesota
NY,The State of New York
OH,The State of Ohio
ON,The Province of Ontario
PA,The State of Pennsylvania
WI,The State of Wisconsin
sc_on,Ontario waters of Lake St Clair
sc_mi,Michigan waters of Lake St. Clair
on_on,Ontario waters of Lake Ontario
on_ny,New York waters of Lake Ontario
er_on,Ontario waters of Lake Erie
er_oh,Ohio waters of Lake Erie
er_mi,Michigan waters of Lake Erie
er_pa,Pennsylvania waters of Lake Erie
su_on,Ontario waters of Lake Superior
su_mi,Michigan waters of Lake Superior
su_mn,Minnesota waters of Lake Superior
su_wi,Wisconsin waters of Lake Superior
hu_mi,Michigan waters of Lake Huron
hu_on,Ontario waters of Lake Huron
mi_mi,Michigan waters of Lake Michigan
mi_in,Indiana waters of Lake Michigan
mi_wi,Wisconsin waters of Lake Michigan
er_ny,New York Waters of Lake Erie
mi_il,Illinois waters of Lake Michigan
er_1003,Lake Erie Grid: 1003
er_1004,Lake Erie Grid: 1004
er_1010,Lake Erie Grid: 1010
er_1104,Lake Erie Grid: 1104
er_123,Lake Erie Grid: 123
er_126,Lake Erie Grid: 126
er_225,Lake Erie Grid: 225
er_413,Lake Erie Grid: 413
er_516,Lake Erie Grid: 516
er_616,Lake Erie Grid: 616
er_802,Lake Erie Grid: 802
er_814,Lake Erie Grid: 814
hu_1010,Lake Huron Grid: 1010
hu_1016,Lake Huron Grid: 1016
hu_1116,Lake Huron Grid: 1116
hu_1219,Lake Huron Grid: 1219
hu_1319,Lake Huron Grid: 1319
hu_1412,Lake Huron Grid: 1412
hu_1608,Lake Huron Grid: 1608
hu_1819,Lake Huron Grid: 1819
hu_207,Lake Huron Grid: 207
hu_308,Lake Huron Grid: 308
hu_404,Lake Huron Grid: 404
hu_411,Lake Huron Grid: 411
hu_420,Lake Huron Grid: 420
hu_519,Lake Huron Grid: 519
hu_618,Lake Huron Grid: 618
hu_718,Lake Huron Grid: 718
hu_818,Lake Huron Grid: 818
hu_910,Lake Huron Grid: 910
mi_1001,Lake Michigan Grid: 1001
mi_1004,Lake Michigan Grid: 1004
mi_1010,Lake Michigan Grid: 1010
mi_1104,Lake Michigan Grid: 1104
mi_1402,Lake Michigan Grid: 1402
mi_1609,Lake Michigan Grid: 1609
mi_1702,Lake Michigan Grid: 1702
mi_1905,Lake Michigan Grid: 1905
mi_208,Lake Michigan Grid: 208
mi_2107,Lake Michigan Grid: 2107
mi_2308,Lake Michigan Grid: 2308
mi_2605,Lake Michigan Grid: 2605
mi_314,Lake Michigan Grid: 314
mi_504,Lake Michigan Grid: 504
mi_509,Lake Michigan Grid: 509
mi_604,Lake Michigan Grid: 604
mi_710,Lake Michigan Grid: 710
mi_902,Lake Michigan Grid: 902
mi_910,Lake Michigan Grid: 910
on_702,Lake Ontario Grid: 702
on_805,Lake Ontario Grid: 805
su_1027,Lake Superior Grid: 1027
su_1044,Lake Superior Grid: 1044
su_1111,Lake Superior Grid: 1111
su_1137,Lake Superior Grid: 1137
su_1215,Lake Superior Grid: 1215
su_1241,Lake Superior Grid: 1241
su_125,Lake Superior Grid: 125
su_1328,Lake Superior Grid: 1328
su_1405,Lake Superior Grid: 1405
su_1444,Lake Superior Grid: 1444
su_1512,Lake Superior Grid: 1512
su_322,Lake Superior Grid: 322
su_336,Lake Superior Grid: 336
su_433,Lake Superior Grid: 433
su_624,Lake Superior Grid: 624
su_633,Lake Superior Grid: 633
su_735,Lake Superior Grid: 735
su_811,Lake Superior Grid: 811
su_825,Lake Superior Grid: 825
su_911,Lake Superior Grid: 911
su_934,Lake Superior Grid: 934
hu_95,Lake Huron Grid: 95
on_216,Lake Ontario Grid: 216
