FISHID,CWT,XCWTseq
OMNR_LHA_IA06_01F-101-114-081-00-6,63-01-57,18461
OMNR_LHA_IA06_01F-102-032-081-00-1,63-01-57,18055
OMNR_LHA_IA06_01F-103-032-081-00-1,63-01-57,18801
OMNR_LHA_IA06_01F-103-032-081-00-2,63-01-57,15553
OMNR_LHA_IA06_01F-103-064-081-00-1,63-01-57,18674
OMNR_LHA_IA06_01F-104-089-081-00-1,63-01-57,12838
OMNR_LHA_IA06_01F-104-102-081-00-2,63-01-57,18447
OMNR_LHA_IA06_01F-104-102-081-00-3,63-01-57,19052
OMNR_LHA_IA06_01F-104-127-081-00-1,63-01-57,18588
OMNR_LHA_IA06_01F-104-127-081-00-5,63-01-57,19064
OMNR_LHA_IA06_01F-104-127-081-00-6,63-01-57,18065
OMNR_LHA_IA06_01F-104-127-081-00-8,63-01-57,17895
OMNR_LHA_IA06_01F-104-127-081-00-9,63-01-57,18200
OMNR_LHA_IA06_01F-104-127-081-00-10,63-01-57,18376
OMNR_LHA_IA06_002-201-064-081-00-1,63-01-57,13067
OMNR_LHA_IA06_002-220-089-081-00-1,63-01-57,10843
OMNR_LHA_IA06_01A-104-127-081-00-4,63-01-57,16166
OMNR_LHA_IA07_01F-001-114-081-00-5,63-01-57,17964
OMNR_LHA_IA10_002-212-114-081-00-2,63-01-57,9950
OMNR_LHA_CF04_001-02001-1-081-00-00028,63-01-57,9948
OMNR_LHA_CF06_001-02011-1-081-00-00011,63-01-57,10188
OMNR_LHA_SC13_000-1565-001-081-00-2,02-63-92,15806
OMNR_LHA_SF13_001-2-1-081-TS-2,63-02-92,10338
OMNR_LHA_SF16_501-502-1-081-00-1,63-01-57,14260
