FS_event,CWT,seq_start,seq_end
9818,630157,186,7624
12099,630157,10025,11027
12100,630157,9285,10018
12662,630157,11030,11349
12696,630157,11740,12800
12841,630157,11350,11739
26387,630157,12801,13995
12687,630157,14014,14621
12695,630157,14629,15280
12683,630157,15285,15810
12684,630157,15820,16380
12691,630157,16385,17699
14480,630157,17716,18515
15164,630157,17716,18515
15172,630157,18533,19125
11796,630158,1,8649
13598,630158,8650,25000
13225,630198,1,8100
13231,630198,1,8100
15430,630198,8101,16167
15432,630198,8101,16167
16992,630198,16204,16700
17187,630199,1,9050
18562,630199,9051,17620
15173,630202,88,354
18876,630202,647,8867
20505,630202,8920,13724
19816,630244,1917,1966
19817,630244,1975,2151
20635,630262,137,11090
21953,630261,178,18219
22956,630290,185,8210
25066,630290,8219,16819
25631,630291,251,9241
27545,630291,9570,19151
26393,630292,135,18005
28641,630359,103,8013
31527,630359,8015,24999
30800,630360,1,18024
32667,630386,1,25000
32667,630387,1,25000
31539,630388,1,19208
31541,630388,1,19208
31543,630388,1,19208
31543,630389,1,17334
31541,630389,1,17334
31539,630389,1,17334
